FROM,TO,VEC,TO-FIPS,FROM-FIPS,COUNT
PALM BEACH CO FL,SAN DIEGO CA,PALM BEACH CO FL to SAN DIEGO CA,06073,12099,1
PUTNAM CO FL,SAN DIEGO CA,PUTNAM CO FL to SAN DIEGO CA,06073,12107,1
LAS VEGAS NV,LONG BEACH CA,LAS VEGAS NV to LONG BEACH CA,06037,32003,2
LAS VEGAS NV,SAN BERNARDINO CA,LAS VEGAS NV to SAN BERNARDINO CA,06071,32003,6
LAS VEGAS NV,RIVERSIDE CA,LAS VEGAS NV to RIVERSIDE CA,06065,32003,2
LAS VEGAS NV,OXNARD CA,LAS VEGAS NV to OXNARD CA,06111,32003,1
LAS VEGAS NV,STOCKTON CA,LAS VEGAS NV to STOCKTON CA,06077,32003,1
LAS VEGAS NV,SAN DIEGO CA,LAS VEGAS NV to SAN DIEGO CA,06073,32003,1
LAS VEGAS NV,ALAMEDA CA,LAS VEGAS NV to ALAMEDA CA,06001,32003,2
LAS VEGAS NV,SAN MATEO CA,LAS VEGAS NV to SAN MATEO CA,06081,32003,1
SEATTLE WA,SAN DIEGO CA,SEATTLE WA to SAN DIEGO CA,06073,53033,1
BALTIMORE MD,SAN DIEGO CA,BALTIMORE MD to SAN DIEGO CA,06073,24510,1
ARLINGTON TX,SAN DIEGO CA,ARLINGTON TX to SAN DIEGO CA,06073,48439,1
EL PASO TX,SAN BERNARDINO CA,EL PASO TX to SAN BERNARDINO CA,06071,48141,8
WICHITA KS,SAN DIEGO CA,WICHITA KS to SAN DIEGO CA,06073,20173,1
WICHITA KS,EL CAJON CA,WICHITA KS to EL CAJON CA,06073,20173,1
TACOMA WA,SAN DIEGO CA,TACOMA WA to SAN DIEGO CA,06073,53053,1
LEE CO FL,LONG BEACH CA,LEE CO FL to LONG BEACH CA,06037,12071,1
EVERETT WA,LONG BEACH CA,EVERETT WA to LONG BEACH CA,06037,53061,1
TEMPE AZ,LONG BEACH CA,TEMPE AZ to LONG BEACH CA,06037,04013,1
SAN ANTONIO TX,SAN DIEGO CA,SAN ANTONIO TX to SAN DIEGO CA,06073,48029,1
KING CO WA,EL CAJON CA,KING CO WA to EL CAJON CA,06073,53033,1
CLARK CO WA,STOCKTON CA,CLARK CO WA to STOCKTON CA,06077,53011,1
KING CO WA,STOCKTON CA,KING CO WA to STOCKTON CA,06077,53033,1
CLACKAMAS CO OR,STOCKTON CA,CLACKAMAS CO OR to STOCKTON CA,06077,41005,1
GARLAND TX,SAN DIEGO CA,GARLAND TX to SAN DIEGO CA,06073,48085,1
ESCONDIDO CA,SONOMA CO CA,ESCONDIDO CA to SONOMA CO CA,06097,06073,1
LAKE CO CA,RIVERSIDE CA,LAKE CO CA to RIVERSIDE CA,06065,06033,1
YUBA CO CA,CHULA VISTA CA,YUBA CO CA to CHULA VISTA CA,06073,06115,1
SANTA ROSA CA,CHULA VISTA CA,SANTA ROSA CA to CHULA VISTA CA,06073,06097,1
GRIDLEY CA,SAN BERNARDINO CA,GRIDLEY CA to SAN BERNARDINO CA,06071,06007,1
NEVADA CO CA,SAN DIEGO CA,NEVADA CO CA to SAN DIEGO CA,06073,06057,1
CALAVERAS CO CA,CHULA VISTA CA,CALAVERAS CO CA to CHULA VISTA CA,06073,06009,1
LOS ANGELES CO CA,SONOMA CO CA,LOS ANGELES CO CA to SONOMA CO CA,06097,06037,1
NEVADA CO CA,FONTANA CA,NEVADA CO CA to FONTANA CA,06071,06057,1
OAKDALE CA,SAN DIEGO CA,OAKDALE CA to SAN DIEGO CA,06073,06099,1
SAN DIEGO CA,ANTIOCH CA,SAN DIEGO CA to ANTIOCH CA,06013,06073,1
RIVERSIDE CO CA,SONOMA CO CA,RIVERSIDE CO CA to SONOMA CO CA,06097,06065,1
MODESTO CA,SAN DIEGO CA,MODESTO CA to SAN DIEGO CA,06073,06099,1
NAPA CA,ONTARIO CA,NAPA CA to ONTARIO CA,06071,06055,1
FAIRFIELD CA,SAN BERNARDINO CA,FAIRFIELD CA to SAN BERNARDINO CA,06071,06095,1
LINCOLN CA,OXNARD CA,LINCOLN CA to OXNARD CA,06111,06061,1
WOODLAND CA,RIVERSIDE CA,WOODLAND CA to RIVERSIDE CA,06065,06113,1
HAYWARD CA,FONTANA CA,HAYWARD CA to FONTANA CA,06071,06001,1
RIVERSIDE CO CA,SACRAMENTO CA,RIVERSIDE CO CA to SACRAMENTO CA,06067,06065,2
ROCKLIN CA,LONG BEACH CA,ROCKLIN CA to LONG BEACH CA,06037,06061,1
LOS ANGELES CA,SACRAMENTO CA,LOS ANGELES CA to SACRAMENTO CA,06067,06037,2
SALINAS CA,SAN DIEGO CA,SALINAS CA to SAN DIEGO CA,06073,06053,1
RIVERSIDE CO CA,REDWOOD CA,RIVERSIDE CO CA to REDWOOD CA,,06065,1
SAN BERNARDINO CO CA,ANTIOCH CA,SAN BERNARDINO CO CA to ANTIOCH CA,06013,06071,1
UNION CITY CA,NEWARK CA,UNION CITY CA to NEWARK CA,06001,06001,1
HUNTINGTON BEACH CA,STOCKTON CA,HUNTINGTON BEACH CA to STOCKTON CA,06077,06059,1
EUREKA CA,HUNTINGTON BEACH CA,EUREKA CA to HUNTINGTON BEACH CA,06059,06023,1
OAKDALE CA,LONG BEACH CA,OAKDALE CA to LONG BEACH CA,06037,06099,1
HUMBOLDT CO CA,STOCKTON CA,HUMBOLDT CO CA to STOCKTON CA,06077,06023,2
ONTARIO CA,HAYWARD CA,ONTARIO CA to HAYWARD CA,06001,06071,1
LOS ANGELES CA,STOCKTON CA,LOS ANGELES CA to STOCKTON CA,06077,06037,1
LOS ANGELES CO CA,STOCKTON CA,LOS ANGELES CO CA to STOCKTON CA,06077,06037,1
CLOVIS CA,SAN DIEGO CA,CLOVIS CA to SAN DIEGO CA,06073,06019,1
ONTARIO CA,SAN JOSE CA,ONTARIO CA to SAN JOSE CA,06085,06071,1
SANTA CLARA CO CA,LONG BEACH CA,SANTA CLARA CO CA to LONG BEACH CA,06037,06085,1
HUMBOLDT CO CA,SACRAMENTO CA,HUMBOLDT CO CA to SACRAMENTO CA,06067,06023,1
FRESNO CA,RIVERSIDE CA,FRESNO CA to RIVERSIDE CA,06065,06019,2
SIMI VALLEY CA,SAN JOSE CA,SIMI VALLEY CA to SAN JOSE CA,06085,06111,1
BAKERSFIELD CA,SACRAMENTO CA,BAKERSFIELD CA to SACRAMENTO CA,06067,06029,3
KERN CO CA,SAN DIEGO CA,KERN CO CA to SAN DIEGO CA,06073,06029,2
YREKA CA,STOCKTON CA,YREKA CA to STOCKTON CA,06077,06093,1
BAKERSFIELD CA,SAN MATEO CO CA,BAKERSFIELD CA to SAN MATEO CO CA,06081,06029,1
FORTUNA CA,SACRAMENTO CA,FORTUNA CA to SACRAMENTO CA,06067,06023,1
PORTERVILLE CA,SAN DIEGO CA,PORTERVILLE CA to SAN DIEGO CA,06073,06107,1
BAKERSFIELD CA,STOCKTON CA,BAKERSFIELD CA to STOCKTON CA,06077,06029,1
EUREKA CA,ROHNERT PARK CA,EUREKA CA to ROHNERT PARK CA,06097,06023,1
EL DORADO CO CA,SAN JOSE CA,EL DORADO CO CA to SAN JOSE CA,06085,06017,1
RIDGECREST CA,SAN DIEGO CA,RIDGECREST CA to SAN DIEGO CA,06073,06029,1
KINGS CO CA,ELK GROVE CA,KINGS CO CA to ELK GROVE CA,06067,06031,1
VISALIA CA,HUNTINGTON BEACH CA,VISALIA CA to HUNTINGTON BEACH CA,06059,06107,1
SANTA BARBARA CA,EL CAJON CA,SANTA BARBARA CA to EL CAJON CA,06073,06083,1
REDDING CA,STOCKTON CA,REDDING CA to STOCKTON CA,06077,06089,2
HANFORD CA,PLEASANTON CA,HANFORD CA to PLEASANTON CA,06001,06031,1
MONTEREY CO CA,SACRAMENTO CA,MONTEREY CO CA to SACRAMENTO CA,06067,06053,2
TULARE CO CA,STOCKTON CA,TULARE CO CA to STOCKTON CA,06077,06107,1
MENDOCINO CO CA,SAN MATEO CO CA,MENDOCINO CO CA to SAN MATEO CO CA,06081,06045,1
REEDLEY CA,SACRAMENTO CA,REEDLEY CA to SACRAMENTO CA,06067,06019,1
EL DORADO CO CA,ROHNERT PARK CA,EL DORADO CO CA to ROHNERT PARK CA,06097,06017,1
SHASTA CO CA,ELK GROVE CA,SHASTA CO CA to ELK GROVE CA,06067,06089,2
SAN BERNARDINO CO CA,CHULA VISTA CA,SAN BERNARDINO CO CA to CHULA VISTA CA,06073,06071,1
FRESNO CA,SACRAMENTO CA,FRESNO CA to SACRAMENTO CA,06067,06019,3
FRESNO CO CA,SACRAMENTO CA,FRESNO CO CA to SACRAMENTO CA,06067,06019,1
VISALIA CA,SAN JOSE CA,VISALIA CA to SAN JOSE CA,06085,06107,1
MADERA CO CA,ELK GROVE CA,MADERA CO CA to ELK GROVE CA,06067,06039,1
FRESNO CA,MENLO PARK CA,FRESNO CA to MENLO PARK CA,06081,06019,1
SHASTA CO CA,SACRAMENTO CA,SHASTA CO CA to SACRAMENTO CA,06067,06089,1
FRESNO CA,SAN MATEO CA,FRESNO CA to SAN MATEO CA,06081,06019,1
CHICO CA,ANTIOCH CA,CHICO CA to ANTIOCH CA,06013,06007,2
REDDING CA,SACRAMENTO CA,REDDING CA to SACRAMENTO CA,06067,06089,3
BUTTE CO CA,ANTIOCH CA,BUTTE CO CA to ANTIOCH CA,06013,06007,1
CATHEDRAL CITY CA,SAN DIEGO CA,CATHEDRAL CITY CA to SAN DIEGO CA,06073,06065,1
KERN CO CA,OXNARD CA,KERN CO CA to OXNARD CA,06111,06029,1
MONTEREY CO CA,STOCKTON CA,MONTEREY CO CA to STOCKTON CA,06077,06053,1
CHICO CA,STOCKTON CA,CHICO CA to STOCKTON CA,06077,06007,1
IMPERIAL CO CA,SAN DIEGO CA,IMPERIAL CO CA to SAN DIEGO CA,06073,06025,1
MADERA CA,HAYWARD CA,MADERA CA to HAYWARD CA,06001,06039,1
LOS ANGELES CO CA,KERN CO CA,LOS ANGELES CO CA to KERN CO CA,06029,06037,2
HANFORD CA,STOCKTON CA,HANFORD CA to STOCKTON CA,06077,06031,2
MADERA CO CA,STOCKTON CA,MADERA CO CA to STOCKTON CA,06077,06039,1
FRESNO CA,STOCKTON CA,FRESNO CA to STOCKTON CA,06077,06019,2
FRESNO CO CA,STOCKTON CA,FRESNO CO CA to STOCKTON CA,06077,06019,1
LAKE CO CA,ELK GROVE CA,LAKE CO CA to ELK GROVE CA,06067,06033,1
FOLSOM CA,MENLO PARK CA,FOLSOM CA to MENLO PARK CA,06081,06067,1
COLUSA CO CA,BRENTWOOD CA,COLUSA CO CA to BRENTWOOD CA,06013,06011,1
SANTA CRUZ CO CA,SONOMA CO CA,SANTA CRUZ CO CA to SONOMA CO CA,06097,06087,1
CITRUS HEIGHTS CA,MILPITAS CA,CITRUS HEIGHTS CA to MILPITAS CA,06085,06067,1
MENDOCINO CO CA,SONOMA CO CA,MENDOCINO CO CA to SONOMA CO CA,06097,06045,3
LOS ANGELES CA,SAN DIEGO CA,LOS ANGELES CA to SAN DIEGO CA,06073,06037,3
LOS ANGELES CO CA,SAN DIEGO CA,LOS ANGELES CO CA to SAN DIEGO CA,06073,06037,3
CHINO CA,SAN DIEGO CA,CHINO CA to SAN DIEGO CA,06073,06071,1
LONG BEACH CA,SAN DIEGO CA,LONG BEACH CA to SAN DIEGO CA,06073,06037,1
MODESTO CA,SONOMA CO CA,MODESTO CA to SONOMA CO CA,06097,06099,1
DESERT HOT SPRINGS CA,LONG BEACH CA,DESERT HOT SPRINGS CA to LONG BEACH CA,06037,06065,1
ATWATER CA,SACRAMENTO CA,ATWATER CA to SACRAMENTO CA,06067,06047,1
SAN BERNARDINO CO CA,SAN DIEGO CA,SAN BERNARDINO CO CA to SAN DIEGO CA,06073,06071,4
CONTRA COSTA CO CA,SACRAMENTO CA,CONTRA COSTA CO CA to SACRAMENTO CA,06067,06013,2
TUOLUMNE CO CA,SOLANO CO CA,TUOLUMNE CO CA to SOLANO CO CA,06095,06109,1
BUENA PARK CA,CHULA VISTA CA,BUENA PARK CA to CHULA VISTA CA,06073,06059,1
SAN JOSE CA,SONOMA CO CA,SAN JOSE CA to SONOMA CO CA,06097,06085,1
DALY CITY CA,ELK GROVE CA,DALY CITY CA to ELK GROVE CA,06067,06081,1
MENDOCINO CO CA,ROHNERT PARK CA,MENDOCINO CO CA to ROHNERT PARK CA,06097,06045,1
